Encoding triples:
\n: 843: 101101
\r: 843: 101100
 : 8969: 111100
!: 48: 011001
": 4: 000011
': 380: 100011
(: 1: 1111110
): 1: 1111101
,: 802: 101011
-: 53: 011011
.: 290: 100001
:: 48: 011000
;: 158: 100000
?: 44: 010110
A: 65: 011101
B: 28: 010010
C: 8: 001001
D: 11: 001011
E: 12: 001101
F: 5: 000100
G: 6: 000101
H: 62: 011100
I: 127: 011111
J: 25: 010001
K: 1: 1111011
L: 12: 001100
M: 7: 000111
N: 24: 010000
O: 17: 001111
P: 7: 000110
R: 8: 001000
S: 49: 011010
T: 106: 011110
U: 3: 000010
V: 2: 000000
W: 45: 010111
Y: 16: 001110
_: 2: 000001
a: 3153: 111001
b: 552: 100110
c: 677: 100111
d: 1945: 110011
e: 4477: 111011
f: 730: 101000
g: 900: 101110
h: 2883: 110111
i: 2166: 110101
j: 35: 010100
k: 387: 100100
l: 1548: 110001
m: 769: 101001
n: 2498: 110110
o: 2910: 111000
p: 480: 100101
q: 29: 010011
r: 1813: 110010
s: 2084: 110100
t: 3405: 111010
u: 998: 101111
v: 324: 100010
w: 1053: 110000
x: 42: 010101
y: 785: 101010
z: 9: 001010
